energy_date,load_discharge_delta,station_ref_id,is_work,is_peak,temp,windSpeed,humidity,cloud,code,hour,minute,weekday,month,day,dew_point,feels_like,temp_diff1,temp_diff24,sin_hour,cos_hour,sin_wday,cos_wday,is_holiday,load_lag1,load_lag2,load_lag4,load_lag8,load_lag12,load_lag24,load_lag48,load_lag96,load_ma4,load_std4,load_ma8,load_std8,load_ma12,load_std12,load_ma24,load_std24,load_ma48,load_std48,load_ma96,load_std96,prev_load,code_305,load_resid,code_999,code_104,code_404,code_101,after_holiday_1,is_month_end,code_501,code_502,code_100,load_seasonal,load_norm_48,before_holiday_3,code_310,load_q10_48,load_q90_48,code_399,code_503,after_holiday_2,before_holiday_2,code_307,load_trend,after_holiday_3,code_400,is_month_begin,code_300,before_holiday_1,code_306
2025-07-05 20:30:00,35.75,3205103743359,0,0,32.0,3.0,72.0,2.0,100,20,30,5,7,5,26.4,51.760000000000005,0.0,-6.0,-0.7933533402912357,0.6087614290087199,-0.9749279121818236,-0.2225209339563146,0,47.0,44.94,36.0,49.54,51.72,89.08,70.71,49.71,43.515000000000036,5.247923398930349,44.825,8.30765051885425,46.156666666666666,7.385169824311547,62.586666666666666,21.087630758692892,77.29729166666667,21.591868321550624,61.16375,23.06244631430607,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 20:45:00,57.0,3205103743359,0,0,32.0,3.0,72.0,2.0,100,20,45,5,7,5,26.4,51.760000000000005,0.0,-6.0,-0.7518398074789772,0.6593458151000691,-0.9749279121818236,-0.2225209339563146,0,35.75,47.0,46.37,39.59,53.87,102.54,69.34,46.77,46.172500000000035,8.719080131205017,47.00125,8.992507099198289,46.4175,7.7296008658949065,60.689166666666665,19.31023358261028,77.04020833333333,21.761424829130664,61.270312499999996,23.018831533436344,35.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 21:00:00,43.88,3205103743359,0,0,31.0,4.0,73.0,1.0,100,21,0,5,7,5,25.6,51.09,-1.0,-7.0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,0,57.0,35.75,44.94,61.62,41.96,90.8,92.94,46.0,45.907500000000034,8.78488616892904,44.78375,6.790247076337141,46.57749999999999,7.6483891649660904,58.73416666666666,18.486793151192256,76.018125,22.147452824699094,61.24822916666667,23.034646947354865,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 21:15:00,41.68,3205103743359,0,0,31.0,4.0,73.0,1.0,100,21,15,5,7,5,25.6,51.09,0.0,-7.0,-0.6593458151000687,0.7518398074789775,-0.9749279121818236,-0.2225209339563146,0,43.88,57.0,47.0,47.33,49.91,89.57,93.96,45.07,44.577500000000036,8.965215650931514,44.0775,6.781400508575329,45.89166666666666,7.691269942858698,56.73875,17.575860993828677,74.92895833333334,22.528567513513213,61.212916666666665,23.062291387356492,43.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 21:30:00,35.57,3205103743359,0,0,31.0,4.0,73.0,1.0,100,21,30,5,7,5,25.6,51.09,0.0,-7.0,-0.6087614290087209,0.7933533402912349,-0.9749279121818236,-0.2225209339563146,0,41.68,43.88,35.75,36.0,49.54,98.96,95.55,35.0,44.532500000000034,9.024549388623644,44.02375,6.855864929323968,44.7275,8.133404883601168,54.0975,15.60797406290452,73.679375,23.018567381178247,61.21885416666667,23.055544092697907,41.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 21:45:00,45.81,3205103743359,0,0,31.0,4.0,73.0,1.0,100,21,45,5,7,5,25.6,51.09,0.0,-7.0,-0.555570233019603,0.8314696123025448,-0.9749279121818236,-0.2225209339563146,0,35.57,41.68,57.0,46.37,39.59,101.11,91.23,48.93,41.735000000000035,4.44285568837288,43.95375,6.83130177412288,45.24583333333334,7.972845344002081,51.79333333333333,12.039952934589893,72.733125,23.21447541405851,61.18635416666666,23.075239914127607,35.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 22:00:00,51.69,3205103743359,0,0,30.0,6.0,79.0,1.0,100,22,0,5,7,5,25.8,52.07,-1.0,-8.0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0,45.81,35.57,43.88,44.94,61.62,68.81,89.08,59.06,43.687500000000036,6.793842187430269,44.7975,7.366413645768355,44.41833333333333,6.497732238482233,51.080000000000005,11.482164240797406,71.95416666666667,23.28149907739418,61.10958333333334,23.094640477222832,45.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 22:15:00,35.63,3205103743359,0,0,30.0,6.0,79.0,1.0,100,22,15,5,7,5,25.8,52.07,0.0,-8.0,-0.4422886902190014,0.8968727415326883,-0.9749279121818236,-0.2225209339563146,0,51.69,45.81,41.68,47.0,47.33,66.2,91.16,47.44,42.17500000000003,7.962652405723478,43.37625,7.954161422119551,43.443333333333335,6.887242928204393,49.806250000000006,11.427411290612588,70.79729166666667,23.68304229842082,60.98656249999999,23.199439323000135,51.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 22:30:00,40.87,3205103743359,0,0,30.0,6.0,79.0,1.0,100,22,30,5,7,5,25.8,52.07,0.0,-8.0,-0.38268343236508956,0.9238795325112868,-0.9749279121818236,-0.2225209339563146,0,35.63,51.69,35.57,35.75,36.0,67.34,96.63,41.48,43.500000000000036,6.862118234751373,44.01625,7.442403485663759,43.84916666666667,6.543683225225818,48.703333333333326,10.928028847565573,69.635625,23.756389770336224,60.98020833333334,23.20492116496367,35.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07-05 22:45:00,39.44,3205103743359,0,0,30.0,6.0,79.0,1.0,100,22,45,5,7,5,25.8,52.07,0.0,-8.0,-0.32143946530316186,0.9469301294951056,-0.9749279121818236,-0.2225209339563146,0,40.87,35.63,45.81,57.0,46.37,68.38,98.27,45.75,41.907500000000034,6.886442598882767,41.82125,5.365840201868991,43.27166666666667,6.606482812518419,47.4975,10.237278531895168,68.41,23.765230010389754,60.914479166666666,23.257393023562248,40.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
