energy_date,load_discharge_delta,station_ref_id,is_work,is_peak,temp,windSpeed,humidity,cloud,code,hour,minute,weekday,temp_squared,sin_hour,cos_hour,sin_wday,cos_wday,is_holiday,load_lag1,load_lag4,load_lag24,load_lag96,load_ma4,load_std4,load_ma24,load_std24,load_ma96,load_std96
2025-07-14 00:15:00,29.44,3205103743359,1,0,26.0,8.0,96.0,40.0,104,0,15,0,676.0,0.06540312923014306,0.9978589232386035,0.0,1.0,0,42.18,25.34,20.58,27.07,36.51750000000003,6.059903052112537,32.346250000000005,5.6728344364951235,32.63697916666667,6.3093973554655
2025-07-14 00:30:00,38.62,3205103743359,1,0,26.0,8.0,96.0,40.0,104,0,30,0,676.0,0.13052619222005157,0.9914448613738104,0.0,1.0,0,29.44,33.55,39.82,37.56,37.785000000000025,5.754867505078041,32.29624999999999,5.609026740769518,32.648020833333334,6.319023678727033
2025-07-14 00:45:00,28.32,3205103743359,1,0,26.0,8.0,96.0,40.0,104,0,45,0,676.0,0.19509032201612825,0.9807852804032304,0.0,1.0,0,38.62,40.9,34.05,17.87,34.64000000000003,6.823352059972848,32.0575,5.652910177834716,32.756875,6.149505810278264
2025-07-14 01:00:00,41.68,3205103743359,1,0,25.0,3.0,98.0,10.0,501,1,0,0,625.0,0.25881904510252074,0.9659258262890683,0.0,1.0,0,28.32,42.18,34.4,27.57,34.51500000000003,6.6413326976595854,32.36083333333334,5.9704743943141,32.90385416666667,6.1926991598083925
2025-07-14 01:15:00,38.69,3205103743359,1,0,25.0,3.0,98.0,10.0,501,1,15,0,625.0,0.3214394653031616,0.9469301294951057,0.0,1.0,0,41.68,29.44,33.11,37.74,36.82750000000003,5.848255437963495,32.593333333333334,6.10798028719909,32.91375,6.201261713734141
2025-07-14 01:30:00,7.69,3205103743359,1,0,25.0,3.0,98.0,10.0,501,1,30,0,625.0,0.3826834323650898,0.9238795325112867,0.0,1.0,0,38.69,38.62,30.7,27.32,29.095000000000027,15.375531427162693,31.634583333333335,7.947111030575211,32.709270833333335,6.6918804288006735
2025-07-14 01:45:00,40.31,3205103743359,1,0,25.0,3.0,98.0,10.0,501,1,45,0,625.0,0.44228869021900125,0.8968727415326884,0.0,1.0,0,7.69,28.32,23.41,40.87,32.09250000000003,16.31417047643965,32.33875,7.935390904344569,32.7034375,6.684932283746617
2025-07-14 02:00:00,36.0,3205103743359,1,0,25.0,5.0,99.0,10.0,501,2,0,0,625.0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,40.31,41.68,33.68,36.63,30.672500000000028,15.42443164812461,32.43541666666667,7.966509780331466,32.696875,6.681345328214724
2025-07-14 02:15:00,27.81,3205103743359,1,0,25.0,5.0,99.0,10.0,501,2,15,0,625.0,0.5555702330196022,0.8314696123025452,0.0,1.0,0,36.0,38.69,35.54,26.56,27.95250000000003,14.4690390720209,32.11333333333333,7.99175589712593,32.70989583333333,6.670468853536238
2025-07-14 02:30:00,38.38,3205103743359,1,0,25.0,5.0,99.0,10.0,501,2,30,0,625.0,0.6087614290087207,0.7933533402912352,0.0,1.0,0,27.81,7.69,33.41,15.94,35.62500000000003,5.500124241112132,32.32041666666667,8.090596516522146,32.943645833333335,6.466687937722951
