energy_date,load_discharge_delta,temp,code,humidity,windSpeed,cloud,station_ref_id,is_work,is_peak,hour,minute,weekday,temp_squared,sin_hour,cos_hour,sin_wday,cos_wday,is_holiday,load_lag1,load_lag4,load_lag24,load_lag96,load_ma4,load_std4,load_ma24,load_std24,load_ma96,load_std96
2025-07-12 11:00:00,12.94,26,307,97,14,91,1749985246419357696,0,0,11,0,5,676,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,13.38,13.38,9.0,9.69,13.269999999999992,0.21999916089214422,11.029166666666667,1.6026877368669579,9.096354166666666,1.8146660371455265
2025-07-12 11:00:00,12.94,26,307,97,14,91,1749985246419357696,0,0,11,0,5,676,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,12.94,13.38,9.0,9.69,13.159999999999993,0.2540333917556164,11.193333333333333,1.5875183474981196,9.130208333333334,1.8557092285277494
2025-07-12 11:00:00,12.94,26,307,97,14,91,1749985246419357696,0,0,11,0,5,676,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,12.94,13.38,9.0,9.69,13.049999999999994,0.21999916089342322,11.3575,1.5542123721828873,9.1640625,1.8952531011971359
2025-07-12 11:00:00,12.94,26,307,97,14,91,1749985246419357696,0,0,11,0,5,676,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0,12.94,13.38,9.0,9.69,12.94,0.0,11.521666666666667,1.5015634400561713,9.197916666666666,1.9333896546305323
2025-07-12 11:15:00,12.56,26,307,97,14,91,1749985246419357696,0,0,11,15,5,676,0.19509032201612816,-0.9807852804032304,-0.9749279121818236,-0.2225209339563146,0,12.94,12.94,9.38,7.0,12.844999999999994,0.18999902840365687,11.654166666666667,1.443546110524086,9.255833333333333,1.9500616127380024
2025-07-12 11:15:00,12.56,26,307,97,14,91,1749985246419357696,0,0,11,15,5,676,0.19509032201612816,-0.9807852804032304,-0.9749279121818236,-0.2225209339563146,0,12.56,12.94,9.38,7.0,12.749999999999993,0.21939226086603372,11.786666666666667,1.369787885575839,9.31375,1.9648678663133292
2025-07-12 11:15:00,12.56,26,307,97,14,91,1749985246419357696,0,0,11,15,5,676,0.19509032201612816,-0.9807852804032304,-0.9749279121818236,-0.2225209339563146,0,12.56,12.94,9.38,7.0,12.654999999999992,0.18999902840493585,11.919166666666667,1.2775653405194805,9.371666666666666,1.9778503159798104
2025-07-12 11:15:00,12.56,26,307,97,14,91,1749985246419357696,0,0,11,15,5,676,0.19509032201612816,-0.9807852804032304,-0.9749279121818236,-0.2225209339563146,0,12.56,12.94,9.38,7.0,12.56,0.0,12.051666666666668,1.162492329733062,9.429583333333333,1.9890446738388161
2025-07-12 11:30:00,10.5,26,307,97,14,91,1749985246419357696,0,0,11,30,5,676,0.130526192220052,-0.9914448613738104,-0.9749279121818236,-0.2225209339563146,0,12.56,12.56,12.43,6.75,12.044999999999993,1.0299998207749277,11.97125,1.201290298161178,9.468645833333333,1.9726218687054273
2025-07-12 11:30:00,10.5,26,307,97,14,91,1749985246419357696,0,0,11,30,5,676,0.130526192220052,-0.9914448613738104,-0.9749279121818236,-0.2225209339563146,0,10.5,12.56,12.43,6.75,11.529999999999994,1.189341399317721,11.890833333333333,1.23341490575207,9.507708333333333,1.9552727374165155
2025-07-12 11:30:00,10.5,26,307,97,14,91,1749985246419357696,0,0,11,30,5,676,0.130526192220052,-0.9914448613738104,-0.9749279121818236,-0.2225209339563146,0,10.5,12.56,12.43,6.75,11.014999999999993,1.0299998207762076,11.810416666666667,1.259376935041233,9.546770833333333,1.9369723892959105
2025-07-12 11:30:00,10.5,26,307,97,14,91,1749985246419357696,0,0,11,30,5,676,0.130526192220052,-0.9914448613738104,-0.9749279121818236,-0.2225209339563146,0,10.5,12.56,12.43,6.75,10.5,0.0,11.729999999999999,1.2795515561334598,9.585833333333333,1.9176935924506282
2025-07-12 11:45:00,8.69,26,307,97,14,91,1749985246419357696,0,0,11,45,5,676,0.06540312923014312,-0.9978589232386035,-0.9749279121818236,-0.2225209339563146,0,10.5,10.5,10.5,9.5,10.047499999999992,0.904999796022902,11.654583333333333,1.4026217080231984,9.577395833333332,1.9198559252550025
2025-07-12 11:45:00,8.69,26,307,97,14,91,1749985246419357696,0,0,11,45,5,676,0.06540312923014312,-0.9978589232386035,-0.9749279121818236,-0.2225209339563146,0,8.69,10.5,10.5,9.5,9.594999999999992,1.0450038105844326,11.579166666666666,1.5118112313698553,9.568958333333333,1.9219783951356844
2025-07-12 11:45:00,8.69,26,307,97,14,91,1749985246419357696,0,0,11,45,5,676,0.06540312923014312,-0.9978589232386035,-0.9749279121818236,-0.2225209339563146,0,8.69,10.5,10.5,9.5,9.142499999999993,0.9049997960241799,11.503749999999998,1.6099468361526508,9.560520833333333,1.9240611340134162
2025-07-12 11:45:00,8.69,26,307,97,14,91,1749985246419357696,0,0,11,45,5,676,0.06540312923014312,-0.9978589232386035,-0.9749279121818236,-0.2225209339563146,0,8.69,10.5,10.5,9.5,8.69,0.0,11.428333333333333,1.698945114959159,9.552083333333334,1.9261042707742217
2025-07-12 12:00:00,8.12,26,305,98,1,80,1749985246419357696,0,0,12,0,5,676,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,8.69,8.69,10.5,7.25,8.547499999999992,0.2849993522893107,11.329166666666666,1.82059215860973,9.561145833333333,1.9171848015281323
2025-07-12 12:00:00,8.12,26,305,98,1,80,1749985246419357696,0,0,12,0,5,676,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,8.12,8.69,10.5,7.25,8.404999999999992,0.32908909250488755,11.229999999999999,1.9292936334143347,9.570208333333333,1.908180148121274
2025-07-12 12:00:00,8.12,26,305,98,1,80,1749985246419357696,0,0,12,0,5,676,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,8.12,8.69,10.5,7.25,8.262499999999992,0.2849993522905872,11.130833333333333,2.0271331607640226,9.579270833333334,1.8990890988354614
2025-07-12 12:00:00,8.12,26,305,98,1,80,1749985246419357696,0,0,12,0,5,676,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,0,8.12,8.69,10.5,7.25,8.12,0.0,11.031666666666666,2.115618252568121,9.588333333333333,1.8899104068989985
